ticker,sector,approx_mktcap_usd
AAPL,Information Technology,4542300000000
MSFT,Information Technology,3648260000000
AMZN,Consumer Discretionary,2552340000000
GOOGL,Communication,2040430000000
AVGO,Information Technology,1744820000000
GOOG,Communication,1651090000000
META,Communication,1225700000000
MU,Information Technology,1110340000000
TSLA,Consumer Discretionary,1074290000000
LLY,Health Care,1016610000000
JPM,Financials,951720000000
BRKB,Financials,937300000000
AMD,Information Technology,778680000000
XOM,Energy,699370000000
JNJ,Health Care,663320000000
V,Financials,620060000000
ABBV,Health Care,475860000000
MA,Financials,475860000000
WMT,Consumer Staples,461440000000
CSCO,Information Technology,447020000000
COST,Consumer Staples,425390000000
INTC,Information Technology,418180000000
BAC,Financials,418180000000
PLTR,Information Technology,403760000000
LRCX,Information Technology,396550000000
AMAT,Information Technology,396550000000
CVX,Energy,389340000000
MRK,Health Care,382130000000
CAT,Industrials,382130000000
GE,Industrials,367710000000
KO,Consumer Staples,360500000000
UNH,Health Care,360500000000
PG,Consumer Staples,346080000000
HD,Consumer Discretionary,338870000000
NFLX,Communication,338870000000
GS,Financials,302820000000
PM,Consumer Staples,295610000000
PANW,Information Technology,295610000000
RTX,Industrials,288400000000
GEV,Industrials,259560000000
WFC,Financials,259560000000
ORCL,Information Technology,252350000000
KLAC,Information Technology,245140000000
TXN,Information Technology,245140000000
MS,Financials,245140000000
AMGN,Health Care,237930000000
TMO,Health Care,237930000000
SNDK,Information Technology,237930000000
LIN,Materials,230720000000
C,Financials,230720000000
IBM,Information Technology,223510000000
VZ,Communication,209090000000
MRVL,Information Technology,209090000000
ABT,Health Care,201880000000
ANET,Information Technology,201880000000
PEP,Consumer Staples,201880000000
CRWD,Information Technology,194670000000
MCD,Consumer Discretionary,194670000000
APH,Information Technology,194670000000
DIS,Communication,194670000000
SCHW,Financials,187460000000
UNP,Industrials,187460000000
ADI,Information Technology,187460000000
GILD,Health Care,187460000000
AXP,Financials,180250000000
BLK,Financials,180250000000
NEE,Utilities,180250000000
T,Communication,173040000000
QCOM,Information Technology,173040000000
WELL,Real Estate,173040000000
CRM,Information Technology,165830000000
COP,Energy,165830000000
ETN,Industrials,165830000000
BA,Industrials,165830000000
BKNG,Consumer Discretionary,165830000000
DE,Industrials,165830000000
PFE,Health Care,165830000000
WDC,Information Technology,158620000000
TJX,Consumer Discretionary,158620000000
UBER,Industrials,158620000000
NEM,Materials,144200000000
VRTX,Health Care,144200000000
DHR,Health Care,136990000000
BMY,Health Care,136990000000
COF,Financials,136990000000
PLD,Real Estate,136990000000
ISRG,Health Care,136990000000
DELL,Industrials,136990000000
NOW,Information Technology,136990000000
PGR,Financials,129780000000
SPGI,Financials,129780000000
PH,Industrials,129780000000
SBUX,Consumer Discretionary,122570000000
LOW,Consumer Discretionary,122570000000
CB,Financials,122570000000
MDT,Health Care,122570000000
CVS,Health Care,122570000000
GLW,Information Technology,122570000000
LMT,Industrials,115360000000
SYK,Health Care,115360000000
ACN,Information Technology,115360000000
ADP,Industrials,115360000000
SNOW,Information Technology,115360000000
ADBE,Information Technology,115360000000
MO,Consumer Staples,115360000000
FCX,Materials,108150000000
BNY,Financials,108150000000
HWM,Industrials,108150000000
BX,Financials,108150000000
MPC,Energy,108150000000
MCK,Health Care,108150000000
EQIX,Real Estate,108150000000
VLO,Energy,108150000000
SO,Utilities,100940000000
VRT,Industrials,100940000000
TT,Industrials,100940000000
