ticker,sector,approx_mktcap_usd
EXEL,Health Care,13433484288
BAX,Health Care,13426385920
HUBS,Information Technology,13409916928
HAS,Consumer Discretionary,13399224320
ALLE,Industrials,13398395904
TOL,Consumer Discretionary,13386432512
SEIC,Financials,13376738304
UHAL,Industrials,13293605888
CNA,Financials,13286505472
DTM,Energy,13242605568
AA,Materials,13182276608
CSGP,Real Estate,13168921600
NXT,Industrials,13145296896
PINS,Communication,13138462720
DOCN,Information Technology,13118585856
COKE,Consumer Staples,13111834624
MANH,Information Technology,13102001152
TXRH,Consumer Discretionary,13055980544
BWA,Consumer Discretionary,13032609792
AGNC,Financials,12915821568
CCK,Materials,12843528192
ALLY,Financials,12815932416
ELS,Real Estate,12798611456
GGG,Industrials,12788682752
CHYM,Financials,12777247744
FNF,Financials,12739159040
GLPI,Real Estate,12686871552
PEN,Health Care,12674334720
WSO,Industrials,12651015168
DKNG,Consumer Discretionary,12644683776
BXP,Real Estate,12605347840
TTMI,Information Technology,12584975360
BFB,Consumer Staples,12526993408
IT,Information Technology,12522126336
IESC,Industrials,12499743744
IREN,Information Technology,12485024768
BMRN,Health Care,12453567488
FROG,Information Technology,12433703936
CLX,Consumer Staples,12418284544
CORT,Health Care,12370781184
MDGL,Health Care,12347537408
DOCU,Information Technology,12326429696
CPT,Real Estate,12278647808
SMTC,Information Technology,12268587008
SF,Financials,12259830784
GDDY,Information Technology,12225302528
AHR,Real Estate,12198121472
WTS,Industrials,12174297088
PSKY,Communication,12083355648
DKS,Consumer Discretionary,12044356608
ELAN,Health Care,12024248320
JKHY,Financials,12006872064
ARWR,Health Care,11992504320
HALO,Health Care,11967228928
EHC,Health Care,11963202560
CR,Industrials,11961783296
AMKR,Information Technology,11933172736
DECK,Consumer Discretionary,11923402752
AFG,Financials,11846988800
AR,Energy,11842550784
BTSG,Health Care,11806559232
PNW,Utilities,11791279104
HRL,Consumer Staples,11740968960
AIT,Industrials,11740788736
CART,Consumer Staples,11740525568
TEM,Health Care,11729160192
FHN,Financials,11659656192
WTRG,Utilities,11600589824
DPZ,Consumer Discretionary,11595809792
DVA,Health Care,11580019712
AUR,Information Technology,11543934976
HII,Industrials,11505355776
BJ,Consumer Staples,11504109568
SAIL,Information Technology,11383362560
SCI,Consumer Discretionary,11363991552
TECH,Health Care,11354424320
BSY,Information Technology,11343588352
OC,Industrials,11262855168
ALGN,Health Care,11206537216
GMED,Health Care,11110173696
AEIS,Information Technology,11093570560
EVR,Financials,11084876800
FRHC,Financials,11075451904
NYT,Communication,11008410624
UMBF,Financials,10970982400
GNRC,Industrials,10968102912
SMMT,Health Care,10929169408
MGM,Consumer Discretionary,10903100416
PAYC,Industrials,10885246976
FDS,Financials,10881100800
KNX,Industrials,10848500736
BPOP,Financials,10838518784
JEF,Financials,10781809664
EGP,Real Estate,10754125824
GKOS,Health Care,10634804224
DCI,Industrials,10612236767
AM,Energy,10597097472
GSAT,Communication,10594398208
RRX,Industrials,10563259392
AXSM,Health Care,10501829632
MOH,Health Care,10495593472
AES,Utilities,10494683136
SANM,Information Technology,10491682816
ARW,Information Technology,10422122496
ALSN,Industrials,10385840128
KRYS,Health Care,10374688768
BIO,Health Care,10374010880
WMS,Industrials,10373513216
LFUS,Information Technology,10358752256
DRS,Industrials,10346049536
WTFC,Financials,10301791232
ESTC,Information Technology,10256907264
SSB,Financials,10252147712
FRT,Real Estate,10245428224
APGE,Health Care,10215573504
CGNX,Information Technology,10215392256
ORI,Financials,10149840896
FLS,Industrials,10148683776
IONS,Health Care,10147214336
PODD,Health Care,10102888448
SOLS,Materials,10101899264
ENSG,Health Care,10098014208
UHS,Health Care,10081975296
CFR,Financials,10081775616
CYTK,Health Care,10063905792
RGEN,Health Care,10061905920
DAR,Consumer Staples,10053623808
HSIC,Health Care,10017930240
MP,Materials,10002185216
AAL,Industrials,5000000000
AAON,Industrials,5000000000
ACI,Consumer Staples,5000000000
ACM,Industrials,5000000000
ADC,Real Estate,5000000000
AGCO,Industrials,5000000000
ALGM,Information Technology,5000000000
ALK,Industrials,5000000000
ALV,Consumer Discretionary,5000000000
AMG,Financials,5000000000
AN,Consumer Discretionary,5000000000
ANF,Consumer Discretionary,5000000000
APPF,Information Technology,5000000000
ASB,Financials,5000000000
ASH,Materials,5000000000
ATR,Materials,5000000000
AVAV,Industrials,5000000000
AVNT,Materials,5000000000
AVT,Information Technology,5000000000
AVTR,Health Care,5000000000
AXTA,Materials,5000000000
AYI,Industrials,5000000000
BAH,Industrials,5000000000
BBWI,Consumer Discretionary,5000000000
BC,Consumer Discretionary,5000000000
BCO,Industrials,5000000000
BDC,Information Technology,5000000000
BHF,Financials,5000000000
BILL,Information Technology,5000000000
BKH,Utilities,5000000000
BRKR,Health Care,5000000000
BROS,Consumer Discretionary,5000000000
